storage,inflow,discharge,label
763.0,150.0,145.0,0
742.0,150.0,400.0,0
704.0,100.0,540.0,0
671.0,100.0,480.0,2
605.0,100.0,858.0,2
556.0,100.0,668.0,2
507.0,100.0,662.0,2
491.0,350.0,539.0,2
474.0,400.0,599.0,2
441.0,400.0,780.0,2
409.0,400.0,780.0,2
409.0,450.0,446.0,2
409.0,400.0,400.0,2
392.0,400.0,579.0,2
359.0,400.0,793.0,2
359.0,400.0,399.0,2
343.0,400.0,578.0,2
343.0,400.0,400.0,2
359.0,550.0,366.0,2
376.0,550.0,376.0,2
376.0,650.0,651.0,4
376.0,575.0,576.0,2
376.0,575.0,575.0,2
425.0,575.0,230.0,2
490.0,1000.0,232.0,4
623.0,2000.0,445.0,4
704.0,1000.0,77.0,4
785.0,1100.0,514.0,4
871.0,2200.0,1651.0,4
892.0,12500.0,12371.0,1
1222.0,21000.0,16895.0,1
1173.0,12000.0,13383.0,1
978.0,6500.0,8965.0,3
978.0,1000.0,74.0,4
978.0,200.0,77.0,0
978.0,100.0,75.0,0
978.0,100.0,77.0,0
978.0,90.0,76.0,0
957.0,0.0,200.0,0
935.0,0.0,240.0,0
806.0,0.0,2500.0,4
785.0,0.0,250.0,0
785.0,100.0,76.0,0
871.0,1600.0,588.0,4
871.0,600.0,585.0,4
871.0,100.0,76.0,0
871.0,90.0,75.0,0
849.0,0.0,246.0,0
871.0,350.0,77.0,0
871.0,1800.0,1753.0,4
871.0,500.0,479.0,0
871.0,100.0,77.0,0
871.0,100.0,77.0,0
849.0,0.0,227.0,0
871.0,500.0,253.0,0
871.0,400.0,410.0,0
892.0,600.0,376.0,0
914.0,500.0,247.0,0
871.0,250.0,721.0,0
806.0,100.0,700.0,0
742.0,100.0,827.0,0
720.0,250.0,477.0,0
672.0,200.0,727.0,0
638.0,250.0,626.0,2
605.0,200.0,575.0,2
589.0,200.0,410.0,2
556.0,350.0,736.0,2
523.0,450.0,833.0,2
507.0,500.0,702.0,2
491.0,350.0,540.0,2
474.0,375.0,565.0,2
474.0,400.0,426.0,2
474.0,400.0,407.0,2
474.0,350.0,466.0,2
458.0,250.0,452.0,2
474.0,425.0,257.0,2
491.0,450.0,260.0,2
491.0,450.0,444.0,2
474.0,350.0,532.0,2
458.0,300.0,469.0,2
491.0,450.0,76.0,2
540.0,700.0,100.0,2
623.0,1200.0,151.0,4
742.0,1600.0,152.0,4
871.0,1700.0,151.0,4
978.0,1600.0,240.0,4
1100.0,1700.0,280.0,4
1246.0,1750.0,76.0,4
1344.0,1250.0,77.0,4
1344.0,250.0,232.0,0
1319.0,200.0,435.0,0
1319.0,250.0,256.0,0
1344.0,250.0,76.0,0
1344.0,250.0,235.0,0
1368.0,350.0,76.0,0
1368.0,200.0,200.0,0
1416.0,650.0,76.0,0
1465.0,650.0,77.0,0
1465.0,200.0,193.0,0
1465.0,200.0,193.0,0
1465.0,250.0,253.0,0
1465.0,150.0,151.0,0
1465.0,150.0,154.0,0
1465.0,150.0,154.0,0
1465.0,125.0,117.0,0
1465.0,100.0,95.0,0
1465.0,100.0,96.0,0
1465.0,100.0,76.0,0
1453.0,0.0,90.0,0
1441.0,0.0,96.0,0
1416.0,0.0,274.0,0
1392.0,0.0,274.0,0
1368.0,0.0,274.0,0
1356.0,0.0,76.0,0
1344.0,0.0,76.0,0
1319.0,0.0,76.0,0
1295.0,0.0,76.0,0
1271.0,0.0,75.0,0
1246.0,0.0,77.0,0
1222.0,0.0,76.0,0
1197.0,0.0,76.0,0
1173.0,0.0,75.0,0
1149.0,0.0,73.0,0
1124.0,0.0,76.0,0
1112.0,0.0,75.0,0
1100.0,0.0,75.0,0
1088.0,0.0,75.0,0
1076.0,0.0,75.0,0
1064.0,0.0,76.0,0
1039.0,0.0,76.0,0
1015.0,0.0,73.0,0
990.0,0.0,71.0,0
957.0,0.0,75.0,0
935.0,0.0,76.0,0
935.0,0.0,75.0,0
914.0,0.0,67.0,0
892.0,0.0,72.0,0
881.0,0.0,75.0,0
871.0,0.0,75.0,0
860.0,0.0,75.0,0
849.0,0.0,75.0,0
838.0,0.0,75.0,0
828.0,0.0,75.0,0
817.0,0.0,74.0,0
795.0,0.0,64.0,0
774.0,0.0,74.0,0
752.0,0.0,74.0,0
731.0,0.0,75.0,2
712.0,0.0,73.0,2
704.0,0.0,73.0,2
696.0,0.0,74.0,2
687.0,0.0,74.0,2
671.0,0.0,73.0,2
655.0,0.0,74.0,2
638.0,0.0,74.0,2
623.0,0.0,74.0,2
605.0,0.0,73.0,2
589.0,0.0,73.0,2
573.0,0.0,72.0,2
564.0,0.0,74.0,2
556.0,0.0,72.0,2
548.0,0.0,72.0,2
540.0,0.0,73.0,2
532.0,0.0,61.0,2
523.0,0.0,58.0,2
507.0,0.0,60.0,2
499.0,0.0,57.0,2
491.0,0.0,58.0,2
482.0,0.0,58.0,2
474.0,0.0,57.0,2
466.0,0.0,55.0,2
458.0,0.0,58.0,2
450.0,0.0,57.0,2
441.0,0.0,57.0,2
433.0,0.0,57.0,2
425.0,0.0,57.0,2
417.0,0.0,57.0,2
409.0,0.0,56.0,2
400.0,0.0,57.0,2
392.0,0.0,57.0,2
376.0,0.0,57.0,2
359.0,0.0,58.0,2
351.0,0.0,56.0,2
343.0,0.0,55.0,2
335.0,0.0,56.0,2
327.0,0.0,55.0,2
310.0,0.0,57.0,2
294.0,0.0,56.0,2
286.0,0.0,57.0,2
277.0,0.0,57.0,2
269.0,0.0,57.0,2
253.0,0.0,57.0,2
236.0,0.0,56.0,2
220.0,0.0,55.0,2
204.0,0.0,55.0,2
187.0,0.0,55.0,2
175.0,0.0,54.0,2
166.0,0.0,53.0,2
158.0,0.0,53.0,2
145.0,0.0,54.0,2
137.0,0.0,42.0,2
128.0,0.0,36.0,2
120.0,0.0,37.0,2
111.0,0.0,37.0,2
103.0,0.0,40.0,2
94.0,0.0,38.0,2
86.0,0.0,36.0,2
86.0,0.0,19.0,2
81.0,0.0,18.0,2
77.0,0.0,4.0,2
77.0,0.0,0.0,2
77.0,0.0,0.0,2
73.0,0.0,0.0,2
69.0,0.0,0.0,2
64.0,0.0,0.0,2
56.0,0.0,0.0,2
52.0,0.0,0.0,2
43.0,0.0,0.0,2
35.0,0.0,0.0,2
26.0,0.0,0.0,2
18.0,0.0,0.0,2
9.0,0.0,0.0,2
0.0,350.0,0.0,2
9.0,350.0,0.0,2
35.0,350.0,0.0,2
69.0,375.0,0.0,2
94.0,225.0,0.0,2
103.0,100.0,0.0,2
111.0,100.0,0.0,2
111.0,0.0,0.0,2
111.0,0.0,0.0,2
111.0,0.0,0.0,2
111.0,0.0,0.0,2
103.0,0.0,0.0,2
94.0,0.0,0.0,2
94.0,0.0,0.0,2
120.0,350.0,0.0,2
162.0,1500.0,0.0,4
310.0,1900.0,0.0,4
425.0,1600.0,21.0,4
507.0,900.0,19.0,4
556.0,550.0,25.0,2
573.0,200.0,39.0,2
581.0,150.0,54.0,2
581.0,100.0,67.0,2
573.0,300.0,310.0,2
573.0,350.0,350.0,2
556.0,250.0,409.0,2
523.0,200.0,579.0,2
491.0,100.0,440.0,2
474.0,100.0,291.0,2
458.0,150.0,341.0,2
441.0,200.0,391.0,2
425.0,150.0,341.0,2
392.0,200.0,541.0,2
359.0,150.0,476.0,2
343.0,300.0,490.0,2
327.0,300.0,491.0,2
327.0,400.0,396.0,2
310.0,250.0,450.0,2
277.0,100.0,476.0,2
261.0,210.0,400.0,2
236.0,200.0,390.0,2
228.0,400.0,438.0,2
245.0,600.0,421.0,2
261.0,700.0,503.0,2
277.0,650.0,433.0,2
294.0,650.0,441.0,2
359.0,1300.0,522.0,4
441.0,1200.0,252.0,4
523.0,1700.0,625.0,4
589.0,1650.0,898.0,4
589.0,900.0,902.0,4
573.0,650.0,852.0,4
556.0,650.0,855.0,4
540.0,750.0,939.0,4
523.0,800.0,951.0,4
491.0,650.0,1036.0,4
458.0,650.0,1035.0,4
425.0,600.0,982.0,4
376.0,410.0,980.0,2
327.0,300.0,870.0,2
294.0,500.0,953.0,4
247.0,500.0,1003.0,4
247.0,800.0,798.0,4
247.0,850.0,839.0,4
247.0,800.0,795.0,4
228.0,700.0,900.0,4
228.0,700.0,686.0,4
261.0,850.0,470.0,4
277.0,800.0,609.0,4
294.0,825.0,639.0,4
277.0,800.0,989.0,4
261.0,700.0,869.0,4
261.0,750.0,754.0,4
261.0,900.0,889.0,4
294.0,1400.0,945.0,4
392.0,1750.0,946.0,4
491.0,1800.0,662.0,4
548.0,1500.0,1122.0,4
507.0,800.0,998.0,4
491.0,800.0,1001.0,4
458.0,700.0,1077.0,4
458.0,850.0,848.0,4
441.0,500.0,118.0,2
458.0,500.0,865.0,4
441.0,700.0,893.0,4
425.0,700.0,882.0,4
409.0,600.0,796.0,4
425.0,650.0,516.0,4
458.0,900.0,555.0,4
573.0,1700.0,440.0,4
623.0,1300.0,756.0,4
589.0,850.0,851.0,4
589.0,500.0,471.0,2
638.0,800.0,828.0,4
623.0,600.0,769.0,4
589.0,400.0,713.0,2
654.0,1800.0,963.0,4
671.0,2800.0,3006.0,4
623.0,1000.0,1474.0,4
623.0,500.0,493.0,2
623.0,100.0,72.0,2
623.0,400.0,76.0,2
655.0,450.0,76.0,2
763.0,2000.0,1990.0,4
704.0,1800.0,1906.0,4
671.0,1300.0,1713.0,4
638.0,100.0,77.0,2
655.0,300.0,77.0,2
671.0,350.0,166.0,2
671.0,200.0,174.0,2
671.0,150.0,147.0,2
671.0,150.0,147.0,2
671.0,300.0,296.0,2
671.0,300.0,296.0,2
671.0,300.0,294.0,2
671.0,450.0,447.0,0
763.0,2000.0,451.0,4
785.0,250.0,127.0,0
785.0,150.0,146.0,0
763.0,50.0,187.0,0
763.0,75.0,76.0,0
892.0,1550.0,76.0,4
935.0,600.0,77.0,0
1003.0,800.0,76.0,0
1051.0,650.0,77.0,0
1100.0,200.0,185.0,0
1076.0,50.0,308.0,0
1027.0,50.0,567.0,0
958.0,0.0,797.0,0
912.0,200.0,726.0,0
892.0,230.0,477.0,0
914.0,400.0,134.0,0
957.0,600.0,137.0,0
1027.0,1200.0,293.0,4
1149.0,2800.0,2970.0,4
1319.0,6000.0,6817.0,3
1149.0,700.0,702.0,4
1149.0,100.0,75.0,0
1149.0,100.0,76.0,0
1149.0,100.0,76.0,0
1149.0,100.0,77.0,0
1124.0,1000.0,1049.0,4
1149.0,100.0,77.0,0
1149.0,100.0,176.0,0
1149.0,200.0,177.0,0
1149.0,300.0,270.0,0
1149.0,300.0,277.0,0
1149.0,225.0,207.0,0
1149.0,225.0,207.0,0
1124.0,100.0,457.0,0
1076.0,100.0,557.0,0
1027.0,50.0,627.0,0
957.0,50.0,676.0,0
914.0,100.0,526.0,0
871.0,100.0,576.0,0
806.0,300.0,1103.0,0
742.0,300.0,1046.0,0
671.0,300.0,1111.0,0
687.0,500.0,310.0,0
741.0,800.0,136.0,4
849.0,1900.0,584.0,4
957.0,2000.0,722.0,4
1100.0,2000.0,549.0,4
1100.0,500.0,742.0,0
1100.0,500.0,509.0,0
1051.0,100.0,336.0,0
1051.0,300.0,318.0,0
1051.0,300.0,318.0,0
1051.0,300.0,319.0,0
1051.0,300.0,319.0,0
1149.0,650.0,75.0,0
1173.0,350.0,68.0,0
1197.0,420.0,146.0,0
1197.0,250.0,216.0,0
1197.0,250.0,227.0,0
1197.0,125.0,75.0,0
1149.0,100.0,429.0,0
1149.0,1200.0,429.0,4
1197.0,1800.0,274.0,4
1271.0,2100.0,276.0,4
1344.0,2100.0,276.0,4
1465.0,900.0,275.0,4
1465.0,300.0,276.0,0
1465.0,300.0,276.0,0
1465.0,300.0,276.0,0
1465.0,300.0,269.0,0
1465.0,300.0,274.0,0
1465.0,300.0,277.0,0
1465.0,300.0,276.0,0
1465.0,300.0,275.0,0
1465.0,300.0,276.0,0
1465.0,300.0,275.0,0
1465.0,280.0,276.0,0
1465.0,250.0,242.0,0
1465.0,250.0,241.0,0
1441.0,220.0,276.0,0
1429.0,220.0,275.0,0
1429.0,200.0,76.0,0
1429.0,180.0,76.0,0
1429.0,180.0,76.0,0
1429.0,150.0,76.0,0
1404.0,100.0,75.0,0
1392.0,100.0,75.0,0
1368.0,100.0,76.0,0
1344.0,100.0,75.0,0
1319.0,100.0,75.0,0
1295.0,50.0,68.0,0
1283.0,50.0,76.0,0
1271.0,50.0,75.0,0
1258.0,0.0,76.0,0
1246.0,0.0,76.0,0
1234.0,0.0,76.0,0
1221.0,0.0,75.0,0
1210.0,0.0,76.0,0
1197.0,0.0,76.0,0
1173.0,0.0,76.0,0
1149.0,0.0,75.0,0
1124.0,0.0,74.0,0
1100.0,0.0,75.0,0
1076.0,0.0,74.0,0
1064.0,0.0,2.0,0
1039.0,0.0,66.0,0
1015.0,0.0,76.0,0
1003.0,0.0,75.0,0
990.0,0.0,75.0,0
978.0,0.0,74.0,0
967.0,0.0,42.0,0
957.0,0.0,70.0,0
935.0,0.0,73.0,0
914.0,0.0,75.0,0
903.0,0.0,75.0,0
892.0,0.0,75.0,0
881.0,0.0,75.0,0
871.0,0.0,75.0,0
860.0,0.0,75.0,0
838.0,0.0,62.0,0
817.0,0.0,73.0,0
795.0,0.0,74.0,0
774.0,0.0,74.0,0
752.0,0.0,76.0,0
742.0,0.0,76.0,2
720.0,0.0,75.0,2
704.0,0.0,76.0,2
687.0,0.0,77.0,2
679.0,0.0,75.0,2
671.0,0.0,76.0,2
663.0,0.0,63.0,2
655.0,0.0,76.0,2
646.0,0.0,63.0,2
631.0,0.0,76.0,2
614.0,0.0,76.0,2
605.0,0.0,75.0,2
597.0,0.0,75.0,2
589.0,0.0,76.0,2
581.0,0.0,75.0,2
573.0,0.0,76.0,2
556.0,0.0,76.0,2
540.0,0.0,76.0,2
532.0,0.0,75.0,2
523.0,0.0,75.0,2
515.0,0.0,76.0,2
507.0,0.0,76.0,2
499.0,0.0,76.0,2
482.0,0.0,76.0,2
466.0,0.0,75.0,2
459.0,0.0,76.0,2
441.0,0.0,76.0,2
425.0,0.0,75.0,2
409.0,0.0,75.0,2
392.0,0.0,71.0,2
376.0,0.0,73.0,2
376.0,0.0,70.0,2
359.0,0.0,71.0,2
351.0,0.0,73.0,2
351.0,0.0,71.0,2
343.0,0.0,71.0,2
359.0,2000.0,60.0,4
474.0,2000.0,72.0,4
605.0,1650.0,62.0,4
704.0,1450.0,73.0,4
785.0,1300.0,73.0,4
871.0,1450.0,73.0,4
957.0,1350.0,73.0,4
1051.0,1050.0,73.0,4
1100.0,850.0,74.0,4
1149.0,600.0,75.0,0
1222.0,450.0,74.0,0
1246.0,250.0,73.0,0
1246.0,0.0,71.0,0
1246.0,0.0,73.0,0
1234.0,0.0,73.0,0
1222.0,0.0,73.0,0
1210.0,0.0,72.0,0
1197.0,0.0,73.0,0
1173.0,0.0,74.0,0
1149.0,0.0,73.0,0
1124.0,1400.0,73.0,4
1149.0,750.0,73.0,0
1173.0,300.0,73.0,0
1173.0,0.0,73.0,0
1149.0,0.0,75.0,0
1124.0,0.0,74.0,0
1100.0,0.0,73.0,0
1076.0,0.0,75.0,0
1051.0,0.0,73.0,0
1027.0,0.0,64.0,0
1003.0,0.0,73.0,0
978.0,0.0,73.0,0
957.0,0.0,73.0,0
936.0,0.0,73.0,0
914.0,0.0,73.0,0
914.0,0.0,74.0,0
914.0,0.0,73.0,0
892.0,0.0,73.0,0
881.0,0.0,74.0,0
871.0,0.0,74.0,0
849.0,0.0,70.0,0
828.0,0.0,67.0,0
806.0,0.0,74.0,0
795.0,0.0,73.0,0
785.0,0.0,73.0,0
774.0,0.0,73.0,0
774.0,0.0,73.0,0
763.0,0.0,73.0,0
752.0,0.0,73.0,0
742.0,0.0,75.0,2
731.0,0.0,73.0,2
720.0,0.0,73.0,2
704.0,0.0,73.0,2
704.0,0.0,73.0,2
687.0,0.0,73.0,2
671.0,0.0,73.0,2
663.0,0.0,65.0,2
655.0,0.0,73.0,2
638.0,0.0,73.0,2
623.0,0.0,73.0,2
605.0,0.0,73.0,2
589.0,0.0,74.0,2
573.0,0.0,64.0,2
556.0,0.0,73.0,2
540.0,0.0,73.0,2
523.0,0.0,73.0,2
515.0,0.0,74.0,2
507.0,0.0,74.0,2
499.0,0.0,73.0,2
491.0,0.0,73.0,2
474.0,0.0,73.0,2
458.0,0.0,73.0,2
441.0,0.0,73.0,2
425.0,0.0,73.0,2
409.0,0.0,73.0,2
392.0,0.0,73.0,2
392.0,0.0,73.0,2
392.0,0.0,36.0,2
376.0,0.0,37.0,2
376.0,0.0,36.0,2
368.0,0.0,36.0,2
359.0,0.0,37.0,2
351.0,0.0,37.0,2
343.0,0.0,37.0,2
327.0,0.0,38.0,2
310.0,0.0,38.0,2
294.0,0.0,36.0,2
277.0,0.0,36.0,2
269.0,0.0,37.0,2
261.0,0.0,59.0,2
253.0,0.0,55.0,2
245.0,0.0,59.0,2
228.0,0.0,54.0,2
228.0,0.0,51.0,2
220.0,0.0,54.0,2
212.0,0.0,53.0,2
212.0,0.0,54.0,2
195.0,0.0,54.0,2
179.0,0.0,54.0,2
179.0,70.0,54.0,2
195.0,125.0,54.0,2
228.0,400.0,55.0,2
261.0,450.0,55.0,2
294.0,500.0,56.0,2
327.0,800.0,73.0,2
376.0,850.0,75.0,2
441.0,800.0,73.0,2
474.0,400.0,73.0,2
474.0,150.0,73.0,2
491.0,350.0,73.0,2
556.0,900.0,73.0,4
605.0,750.0,73.0,2
623.0,300.0,73.0,2
623.0,100.0,73.0,2
623.0,100.0,73.0,2
638.0,250.0,73.0,2
671.0,600.0,73.0,2
704.0,450.0,73.0,2
704.0,150.0,73.0,2
704.0,150.0,73.0,2
720.0,400.0,273.0,0
704.0,200.0,323.0,0
687.0,200.0,323.0,2
671.0,100.0,314.0,2
638.0,75.0,323.0,2
605.0,75.0,348.0,2
589.0,250.0,348.0,2
589.0,600.0,423.0,2
589.0,500.0,423.0,2
605.0,550.0,323.0,2
687.0,1300.0,123.0,4
785.0,1300.0,123.0,4
892.0,1700.0,273.0,4
957.0,1050.0,323.0,4
978.0,750.0,373.0,4
978.0,700.0,573.0,4
935.0,500.0,623.0,0
871.0,550.0,1012.0,4
849.0,450.0,772.0,0
806.0,350.0,873.0,0
763.0,350.0,857.0,0
720.0,350.0,837.0,0
704.0,450.0,743.0,0
671.0,350.0,767.0,0
655.0,400.0,642.0,0
638.0,450.0,670.0,0
671.0,1400.0,697.0,4
671.0,900.0,798.0,4
671.0,900.0,799.0,4
671.0,450.0,366.0,2
671.0,500.0,591.0,0
671.0,1200.0,1125.0,4
687.0,1650.0,1226.0,4
720.0,1700.0,1216.0,4
763.0,1400.0,1038.0,4
742.0,900.0,796.0,4
763.0,1400.0,850.0,4
828.0,1500.0,1090.0,4
849.0,1200.0,1026.0,4
870.0,1000.0,863.0,4
849.0,400.0,830.0,0
806.0,350.0,848.0,0
785.0,350.0,741.0,0
742.0,400.0,838.0,0
704.0,300.0,823.0,0
671.0,300.0,645.0,0
638.0,700.0,640.0,4
638.0,750.0,639.0,4
657.0,900.0,639.0,4
671.0,900.0,642.0,4
687.0,1100.0,649.0,4
