storage,inflow,discharge
871.0,700.0,699.0
849.0,350.0,768.0
828.0,600.0,848.0
785.0,500.0,982.0
720.0,200.0,938.0
671.0,200.0,837.0
638.0,250.0,642.0
605.0,250.0,630.0
556.0,150.0,721.0
507.0,150.0,722.0
458.0,150.0,721.0
409.0,400.0,938.0
392.0,500.0,709.0
376.0,400.0,595.0
376.0,400.0,410.0
343.0,400.0,778.0
343.0,450.0,449.0
343.0,450.0,450.0
327.0,500.0,696.0
310.0,450.0,640.0
310.0,450.0,425.0
327.0,500.0,310.0
343.0,600.0,403.0
359.0,600.0,412.0
376.0,600.0,418.0
376.0,700.0,702.0
376.0,700.0,701.0
359.0,600.0,789.0
359.0,700.0,701.0
359.0,700.0,701.0
327.0,500.0,883.0
310.0,500.0,687.0
310.0,450.0,700.0
327.0,400.0,243.0
425.0,1300.0,245.0
573.0,1900.0,72.0
687.0,1500.0,73.0
763.0,950.0,75.0
763.0,550.0,550.0
763.0,425.0,401.0
763.0,425.0,403.0
763.0,375.0,352.0
763.0,375.0,352.0
763.0,375.0,344.0
763.0,375.0,352.0
763.0,375.0,354.0
763.0,400.0,403.0
763.0,400.0,404.0
763.0,150.0,145.0
742.0,150.0,400.0
704.0,100.0,540.0
671.0,100.0,480.0
605.0,100.0,858.0
556.0,100.0,668.0
507.0,100.0,662.0
491.0,350.0,539.0
474.0,400.0,599.0
441.0,400.0,780.0
409.0,400.0,780.0
409.0,450.0,446.0
409.0,400.0,400.0
392.0,400.0,579.0
359.0,400.0,793.0
359.0,400.0,399.0
343.0,400.0,578.0
343.0,400.0,400.0
359.0,550.0,366.0
376.0,550.0,376.0
376.0,650.0,651.0
376.0,575.0,576.0
376.0,575.0,575.0
425.0,575.0,230.0
490.0,1000.0,232.0
623.0,2000.0,445.0
704.0,1000.0,77.0
785.0,1100.0,514.0
871.0,2200.0,1651.0
892.0,12500.0,12371.0
1222.0,21000.0,16895.0
1173.0,12000.0,13383.0
978.0,6500.0,8965.0
978.0,1000.0,74.0
978.0,200.0,77.0
978.0,100.0,75.0
978.0,100.0,77.0
978.0,90.0,76.0
957.0,0.0,200.0
935.0,0.0,240.0
806.0,0.0,2500.0
785.0,0.0,250.0
785.0,100.0,76.0
871.0,1600.0,588.0
871.0,600.0,585.0
871.0,100.0,76.0
871.0,90.0,75.0
849.0,0.0,246.0
871.0,350.0,77.0
871.0,1800.0,1753.0
871.0,500.0,479.0
871.0,100.0,77.0
871.0,100.0,77.0
849.0,0.0,227.0
871.0,500.0,253.0
871.0,400.0,410.0
892.0,600.0,376.0
914.0,500.0,247.0
871.0,250.0,721.0
806.0,100.0,700.0
742.0,100.0,827.0
720.0,250.0,477.0
672.0,200.0,727.0
638.0,250.0,626.0
605.0,200.0,575.0
589.0,200.0,410.0
556.0,350.0,736.0
523.0,450.0,833.0
507.0,500.0,702.0
491.0,350.0,540.0
474.0,375.0,565.0
474.0,400.0,426.0
474.0,400.0,407.0
474.0,350.0,466.0
458.0,250.0,452.0
474.0,425.0,257.0
491.0,450.0,260.0
491.0,450.0,444.0
474.0,350.0,532.0
458.0,300.0,469.0
491.0,450.0,76.0
540.0,700.0,100.0
623.0,1200.0,151.0
742.0,1600.0,152.0
871.0,1700.0,151.0
978.0,1600.0,240.0
1100.0,1700.0,280.0
1246.0,1750.0,76.0
1344.0,1250.0,77.0
1344.0,250.0,232.0
1319.0,200.0,435.0
1319.0,250.0,256.0
1344.0,250.0,76.0
1344.0,250.0,235.0
1368.0,350.0,76.0
1368.0,200.0,200.0
1416.0,650.0,76.0
1465.0,650.0,77.0
1465.0,200.0,193.0
1465.0,200.0,193.0
1465.0,250.0,253.0
1465.0,150.0,151.0
1465.0,150.0,154.0
1465.0,150.0,154.0
1465.0,125.0,117.0
1465.0,100.0,95.0
1465.0,100.0,96.0
1465.0,100.0,76.0
1453.0,0.0,90.0
1441.0,0.0,96.0
1416.0,0.0,274.0
1392.0,0.0,274.0
1368.0,0.0,274.0
1356.0,0.0,76.0
1344.0,0.0,76.0
1319.0,0.0,76.0
1295.0,0.0,76.0
1271.0,0.0,75.0
1246.0,0.0,77.0
1222.0,0.0,76.0
1197.0,0.0,76.0
1173.0,0.0,75.0
1149.0,0.0,73.0
1124.0,0.0,76.0
1112.0,0.0,75.0
1100.0,0.0,75.0
1088.0,0.0,75.0
1076.0,0.0,75.0
1064.0,0.0,76.0
1039.0,0.0,76.0
1015.0,0.0,73.0
990.0,0.0,71.0
957.0,0.0,75.0
935.0,0.0,76.0
935.0,0.0,75.0
914.0,0.0,67.0
892.0,0.0,72.0
881.0,0.0,75.0
871.0,0.0,75.0
860.0,0.0,75.0
849.0,0.0,75.0
838.0,0.0,75.0
828.0,0.0,75.0
817.0,0.0,74.0
795.0,0.0,64.0
774.0,0.0,74.0
752.0,0.0,74.0
731.0,0.0,75.0
712.0,0.0,73.0
704.0,0.0,73.0
696.0,0.0,74.0
687.0,0.0,74.0
671.0,0.0,73.0
655.0,0.0,74.0
638.0,0.0,74.0
623.0,0.0,74.0
605.0,0.0,73.0
589.0,0.0,73.0
573.0,0.0,72.0
564.0,0.0,74.0
556.0,0.0,72.0
548.0,0.0,72.0
540.0,0.0,73.0
532.0,0.0,61.0
523.0,0.0,58.0
507.0,0.0,60.0
499.0,0.0,57.0
491.0,0.0,58.0
482.0,0.0,58.0
474.0,0.0,57.0
466.0,0.0,55.0
458.0,0.0,58.0
450.0,0.0,57.0
441.0,0.0,57.0
433.0,0.0,57.0
425.0,0.0,57.0
417.0,0.0,57.0
409.0,0.0,56.0
400.0,0.0,57.0
392.0,0.0,57.0
376.0,0.0,57.0
359.0,0.0,58.0
351.0,0.0,56.0
343.0,0.0,55.0
335.0,0.0,56.0
327.0,0.0,55.0
310.0,0.0,57.0
294.0,0.0,56.0
286.0,0.0,57.0
277.0,0.0,57.0
269.0,0.0,57.0
253.0,0.0,57.0
236.0,0.0,56.0
220.0,0.0,55.0
204.0,0.0,55.0
187.0,0.0,55.0
175.0,0.0,54.0
166.0,0.0,53.0
158.0,0.0,53.0
145.0,0.0,54.0
137.0,0.0,42.0
128.0,0.0,36.0
120.0,0.0,37.0
111.0,0.0,37.0
103.0,0.0,40.0
94.0,0.0,38.0
86.0,0.0,36.0
86.0,0.0,19.0
81.0,0.0,18.0
77.0,0.0,4.0
77.0,0.0,0.0
77.0,0.0,0.0
73.0,0.0,0.0
69.0,0.0,0.0
64.0,0.0,0.0
56.0,0.0,0.0
52.0,0.0,0.0
43.0,0.0,0.0
35.0,0.0,0.0
26.0,0.0,0.0
18.0,0.0,0.0
9.0,0.0,0.0
0.0,350.0,0.0
9.0,350.0,0.0
35.0,350.0,0.0
69.0,375.0,0.0
94.0,225.0,0.0
103.0,100.0,0.0
111.0,100.0,0.0
111.0,0.0,0.0
111.0,0.0,0.0
111.0,0.0,0.0
111.0,0.0,0.0
103.0,0.0,0.0
94.0,0.0,0.0
94.0,0.0,0.0
120.0,350.0,0.0
162.0,1500.0,0.0
310.0,1900.0,0.0
425.0,1600.0,21.0
507.0,900.0,19.0
556.0,550.0,25.0
573.0,200.0,39.0
581.0,150.0,54.0
581.0,100.0,67.0
573.0,300.0,310.0
573.0,350.0,350.0
556.0,250.0,409.0
523.0,200.0,579.0
491.0,100.0,440.0
474.0,100.0,291.0
458.0,150.0,341.0
441.0,200.0,391.0
425.0,150.0,341.0
392.0,200.0,541.0
359.0,150.0,476.0
343.0,300.0,490.0
327.0,300.0,491.0
327.0,400.0,396.0
310.0,250.0,450.0
277.0,100.0,476.0
261.0,210.0,400.0
236.0,200.0,390.0
228.0,400.0,438.0
245.0,600.0,421.0
261.0,700.0,503.0
277.0,650.0,433.0
294.0,650.0,441.0
359.0,1300.0,522.0
441.0,1200.0,252.0
523.0,1700.0,625.0
589.0,1650.0,898.0
589.0,900.0,902.0
573.0,650.0,852.0
556.0,650.0,855.0
540.0,750.0,939.0
523.0,800.0,951.0
491.0,650.0,1036.0
458.0,650.0,1035.0
425.0,600.0,982.0
376.0,410.0,980.0
327.0,300.0,870.0
294.0,500.0,953.0
247.0,500.0,1003.0
247.0,800.0,798.0
247.0,850.0,839.0
247.0,800.0,795.0
228.0,700.0,900.0
228.0,700.0,686.0
261.0,850.0,470.0
277.0,800.0,609.0
294.0,825.0,639.0
277.0,800.0,989.0
261.0,700.0,869.0
261.0,750.0,754.0
261.0,900.0,889.0
294.0,1400.0,945.0
392.0,1750.0,946.0
491.0,1800.0,662.0
548.0,1500.0,1122.0
507.0,800.0,998.0
491.0,800.0,1001.0
458.0,700.0,1077.0
458.0,850.0,848.0
441.0,500.0,118.0
458.0,500.0,865.0
441.0,700.0,893.0
425.0,700.0,882.0
409.0,600.0,796.0
425.0,650.0,516.0
458.0,900.0,555.0
573.0,1700.0,440.0
623.0,1300.0,756.0
589.0,850.0,851.0
589.0,500.0,471.0
638.0,800.0,828.0
623.0,600.0,769.0
589.0,400.0,713.0
654.0,1800.0,963.0
671.0,2800.0,3006.0
623.0,1000.0,1474.0
623.0,500.0,493.0
623.0,100.0,72.0
623.0,400.0,76.0
655.0,450.0,76.0
763.0,2000.0,1990.0
704.0,1800.0,1906.0
671.0,1300.0,1713.0
638.0,100.0,77.0
655.0,300.0,77.0
671.0,350.0,166.0
671.0,200.0,174.0
671.0,150.0,147.0
671.0,150.0,147.0
671.0,300.0,296.0
671.0,300.0,296.0
671.0,300.0,294.0
671.0,450.0,447.0
763.0,2000.0,451.0
785.0,250.0,127.0
785.0,150.0,146.0
763.0,50.0,187.0
763.0,75.0,76.0
892.0,1550.0,76.0
935.0,600.0,77.0
1003.0,800.0,76.0
1051.0,650.0,77.0
1100.0,200.0,185.0
1076.0,50.0,308.0
1027.0,50.0,567.0
958.0,0.0,797.0
912.0,200.0,726.0
892.0,230.0,477.0
914.0,400.0,134.0
957.0,600.0,137.0
1027.0,1200.0,293.0
1149.0,2800.0,2970.0
1319.0,6000.0,6817.0
1149.0,700.0,702.0
1149.0,100.0,75.0
1149.0,100.0,76.0
1149.0,100.0,76.0
1149.0,100.0,77.0
1124.0,1000.0,1049.0
1149.0,100.0,77.0
1149.0,100.0,176.0
1149.0,200.0,177.0
1149.0,300.0,270.0
1149.0,300.0,277.0
1149.0,225.0,207.0
1149.0,225.0,207.0
1124.0,100.0,457.0
1076.0,100.0,557.0
1027.0,50.0,627.0
957.0,50.0,676.0
914.0,100.0,526.0
871.0,100.0,576.0
806.0,300.0,1103.0
742.0,300.0,1046.0
671.0,300.0,1111.0
687.0,500.0,310.0
741.0,800.0,136.0
849.0,1900.0,584.0
957.0,2000.0,722.0
1100.0,2000.0,549.0
1100.0,500.0,742.0
1100.0,500.0,509.0
1051.0,100.0,336.0
1051.0,300.0,318.0
1051.0,300.0,318.0
1051.0,300.0,319.0
1051.0,300.0,319.0
1149.0,650.0,75.0
1173.0,350.0,68.0
1197.0,420.0,146.0
1197.0,250.0,216.0
1197.0,250.0,227.0
1197.0,125.0,75.0
1149.0,100.0,429.0
1149.0,1200.0,429.0
1197.0,1800.0,274.0
1271.0,2100.0,276.0
1344.0,2100.0,276.0
1465.0,900.0,275.0
1465.0,300.0,276.0
1465.0,300.0,276.0
1465.0,300.0,276.0
1465.0,300.0,269.0
1465.0,300.0,274.0
1465.0,300.0,277.0
1465.0,300.0,276.0
1465.0,300.0,275.0
1465.0,300.0,276.0
1465.0,300.0,275.0
1465.0,280.0,276.0
1465.0,250.0,242.0
1465.0,250.0,241.0
1441.0,220.0,276.0
1429.0,220.0,275.0
1429.0,200.0,76.0
1429.0,180.0,76.0
1429.0,180.0,76.0
1429.0,150.0,76.0
1404.0,100.0,75.0
1392.0,100.0,75.0
1368.0,100.0,76.0
1344.0,100.0,75.0
1319.0,100.0,75.0
1295.0,50.0,68.0
1283.0,50.0,76.0
1271.0,50.0,75.0
1258.0,0.0,76.0
1246.0,0.0,76.0
1234.0,0.0,76.0
1221.0,0.0,75.0
1210.0,0.0,76.0
1197.0,0.0,76.0
1173.0,0.0,76.0
1149.0,0.0,75.0
1124.0,0.0,74.0
1100.0,0.0,75.0
1076.0,0.0,74.0
1064.0,0.0,2.0
1039.0,0.0,66.0
1015.0,0.0,76.0
1003.0,0.0,75.0
990.0,0.0,75.0
978.0,0.0,74.0
967.0,0.0,42.0
957.0,0.0,70.0
935.0,0.0,73.0
914.0,0.0,75.0
903.0,0.0,75.0
892.0,0.0,75.0
881.0,0.0,75.0
871.0,0.0,75.0
860.0,0.0,75.0
838.0,0.0,62.0
817.0,0.0,73.0
795.0,0.0,74.0
774.0,0.0,74.0
752.0,0.0,76.0
742.0,0.0,76.0
720.0,0.0,75.0
704.0,0.0,76.0
687.0,0.0,77.0
679.0,0.0,75.0
671.0,0.0,76.0
663.0,0.0,63.0
655.0,0.0,76.0
646.0,0.0,63.0
631.0,0.0,76.0
614.0,0.0,76.0
605.0,0.0,75.0
597.0,0.0,75.0
589.0,0.0,76.0
581.0,0.0,75.0
573.0,0.0,76.0
556.0,0.0,76.0
540.0,0.0,76.0
532.0,0.0,75.0
523.0,0.0,75.0
515.0,0.0,76.0
507.0,0.0,76.0
499.0,0.0,76.0
482.0,0.0,76.0
466.0,0.0,75.0
459.0,0.0,76.0
441.0,0.0,76.0
425.0,0.0,75.0
409.0,0.0,75.0
392.0,0.0,71.0
376.0,0.0,73.0
376.0,0.0,70.0
359.0,0.0,71.0
351.0,0.0,73.0
351.0,0.0,71.0
343.0,0.0,71.0
359.0,2000.0,60.0
474.0,2000.0,72.0
605.0,1650.0,62.0
704.0,1450.0,73.0
785.0,1300.0,73.0
871.0,1450.0,73.0
957.0,1350.0,73.0
1051.0,1050.0,73.0
1100.0,850.0,74.0
1149.0,600.0,75.0
1222.0,450.0,74.0
1246.0,250.0,73.0
1246.0,0.0,71.0
1246.0,0.0,73.0
1234.0,0.0,73.0
1222.0,0.0,73.0
1210.0,0.0,72.0
1197.0,0.0,73.0
1173.0,0.0,74.0
1149.0,0.0,73.0
1124.0,1400.0,73.0
1149.0,750.0,73.0
1173.0,300.0,73.0
1173.0,0.0,73.0
1149.0,0.0,75.0
1124.0,0.0,74.0
1100.0,0.0,73.0
1076.0,0.0,75.0
1051.0,0.0,73.0
1027.0,0.0,64.0
1003.0,0.0,73.0
978.0,0.0,73.0
957.0,0.0,73.0
936.0,0.0,73.0
914.0,0.0,73.0
914.0,0.0,74.0
914.0,0.0,73.0
892.0,0.0,73.0
881.0,0.0,74.0
871.0,0.0,74.0
849.0,0.0,70.0
828.0,0.0,67.0
806.0,0.0,74.0
795.0,0.0,73.0
785.0,0.0,73.0
774.0,0.0,73.0
774.0,0.0,73.0
763.0,0.0,73.0
752.0,0.0,73.0
742.0,0.0,75.0
731.0,0.0,73.0
720.0,0.0,73.0
704.0,0.0,73.0
704.0,0.0,73.0
687.0,0.0,73.0
671.0,0.0,73.0
663.0,0.0,65.0
655.0,0.0,73.0
638.0,0.0,73.0
623.0,0.0,73.0
605.0,0.0,73.0
589.0,0.0,74.0
573.0,0.0,64.0
556.0,0.0,73.0
540.0,0.0,73.0
523.0,0.0,73.0
515.0,0.0,74.0
507.0,0.0,74.0
499.0,0.0,73.0
491.0,0.0,73.0
474.0,0.0,73.0
458.0,0.0,73.0
441.0,0.0,73.0
425.0,0.0,73.0
409.0,0.0,73.0
392.0,0.0,73.0
392.0,0.0,73.0
392.0,0.0,36.0
376.0,0.0,37.0
376.0,0.0,36.0
368.0,0.0,36.0
359.0,0.0,37.0
351.0,0.0,37.0
343.0,0.0,37.0
327.0,0.0,38.0
310.0,0.0,38.0
294.0,0.0,36.0
277.0,0.0,36.0
269.0,0.0,37.0
261.0,0.0,59.0
253.0,0.0,55.0
245.0,0.0,59.0
228.0,0.0,54.0
228.0,0.0,51.0
220.0,0.0,54.0
212.0,0.0,53.0
212.0,0.0,54.0
195.0,0.0,54.0
179.0,0.0,54.0
179.0,70.0,54.0
195.0,125.0,54.0
228.0,400.0,55.0
261.0,450.0,55.0
294.0,500.0,56.0
327.0,800.0,73.0
376.0,850.0,75.0
441.0,800.0,73.0
474.0,400.0,73.0
474.0,150.0,73.0
491.0,350.0,73.0
556.0,900.0,73.0
605.0,750.0,73.0
623.0,300.0,73.0
623.0,100.0,73.0
623.0,100.0,73.0
638.0,250.0,73.0
671.0,600.0,73.0
704.0,450.0,73.0
704.0,150.0,73.0
704.0,150.0,73.0
720.0,400.0,273.0
704.0,200.0,323.0
687.0,200.0,323.0
671.0,100.0,314.0
638.0,75.0,323.0
605.0,75.0,348.0
589.0,250.0,348.0
589.0,600.0,423.0
589.0,500.0,423.0
605.0,550.0,323.0
687.0,1300.0,123.0
785.0,1300.0,123.0
892.0,1700.0,273.0
957.0,1050.0,323.0
978.0,750.0,373.0
978.0,700.0,573.0
935.0,500.0,623.0
871.0,550.0,1012.0
849.0,450.0,772.0
806.0,350.0,873.0
763.0,350.0,857.0
720.0,350.0,837.0
704.0,450.0,743.0
671.0,350.0,767.0
655.0,400.0,642.0
638.0,450.0,670.0
671.0,1400.0,697.0
671.0,900.0,798.0
671.0,900.0,799.0
671.0,450.0,366.0
671.0,500.0,591.0
671.0,1200.0,1125.0
687.0,1650.0,1226.0
720.0,1700.0,1216.0
763.0,1400.0,1038.0
742.0,900.0,796.0
763.0,1400.0,850.0
828.0,1500.0,1090.0
849.0,1200.0,1026.0
870.0,1000.0,863.0
849.0,400.0,830.0
806.0,350.0,848.0
785.0,350.0,741.0
742.0,400.0,838.0
704.0,300.0,823.0
671.0,300.0,645.0
638.0,700.0,640.0
638.0,750.0,639.0
657.0,900.0,639.0
671.0,900.0,642.0
687.0,1100.0,649.0
687.0,900.0,874.0
671.0,700.0,874.0
655.0,400.0,874.0
623.0,400.0,866.0
605.0,400.0,716.0
671.0,2000.0,633.0
742.0,500.0,775.0
704.0,0.0,626.0
671.0,0.0,573.0
671.0,0.0,124.0
671.0,300.0,224.0
671.0,300.0,224.0
671.0,300.0,224.0
671.0,0.0,174.0
671.0,200.0,343.0
671.0,1500.0,316.0
763.0,1950.0,306.0
828.0,500.0,307.0
978.0,100.0,73.0
978.0,100.0,64.0
978.0,250.0,324.0
978.0,350.0,334.0
978.0,350.0,334.0
978.0,350.0,322.0
978.0,350.0,334.0
978.0,325.0,310.0
978.0,450.0,435.0
978.0,500.0,477.0
978.0,150.0,131.0
978.0,100.0,89.0
978.0,150.0,89.0
978.0,300.0,295.0
978.0,600.0,610.0
978.0,6000.0,6074.0
1295.0,8500.0,8514.0
1051.0,4000.0,4544.0
871.0,3000.0,5209.0
978.0,1800.0,1858.0
1051.0,5000.0,4870.0
828.0,8800.0,3976.0
763.0,2000.0,1995.0
763.0,600.0,600.0
671.0,1400.0,1400.0
671.0,300.0,300.0
687.0,300.0,74.0
704.0,300.0,74.0
720.0,300.0,59.0
742.0,300.0,74.0
763.0,750.0,246.0
806.0,750.0,346.0
849.0,750.0,346.0
849.0,400.0,396.0
828.0,0.0,399.0
849.0,500.0,400.0
849.0,325.0,313.0
849.0,200.0,197.0
806.0,0.0,197.0
828.0,300.0,197.0
978.0,1200.0,113.0
1003.0,400.0,113.0
1027.0,400.0,113.0
1027.0,0.0,113.0
1003.0,0.0,113.0
978.0,0.0,149.0
978.0,300.0,274.0
978.0,300.0,273.0
978.0,300.0,274.0
978.0,300.0,274.0
978.0,300.0,274.0
978.0,300.0,274.0
978.0,350.0,324.0
978.0,300.0,274.0
978.0,250.0,124.0
978.0,200.0,124.0
978.0,150.0,96.0
978.0,125.0,99.0
978.0,100.0,89.0
978.0,100.0,89.0
978.0,200.0,191.0
978.0,300.0,264.0
978.0,350.0,274.0
935.0,0.0,570.0
871.0,0.0,756.0
806.0,0.0,731.0
763.0,0.0,642.0
720.0,0.0,428.0
720.0,750.0,696.0
720.0,1000.0,896.0
720.0,1000.0,946.0
671.0,500.0,975.0
623.0,500.0,916.0
605.0,500.0,729.0
589.0,0.0,421.0
573.0,0.0,414.0
556.0,0.0,439.0
540.0,0.0,432.0
523.0,0.0,277.0
507.0,0.0,398.0
491.0,0.0,362.0
458.0,0.0,374.0
425.0,0.0,328.0
409.0,0.0,196.0
392.0,0.0,184.0
376.0,0.0,178.0
343.0,0.0,178.0
310.0,0.0,170.0
310.0,0.0,66.0
294.0,0.0,74.0
294.0,0.0,71.0
277.0,0.0,61.0
261.0,0.0,158.0
228.0,0.0,215.0
195.0,0.0,215.0
171.0,0.0,203.0
145.0,0.0,182.0
137.0,0.0,41.0
137.0,0.0,41.0
128.0,0.0,41.0
128.0,0.0,41.0
120.0,0.0,41.0
111.0,0.0,41.0
111.0,0.0,41.0
103.0,0.0,41.0
94.0,0.0,41.0
86.0,0.0,33.0
86.0,0.0,21.0
77.0,0.0,20.0
77.0,0.0,19.0
77.0,0.0,5.0
69.0,0.0,0.0
69.0,0.0,0.0
69.0,0.0,0.0
60.0,0.0,0.0
60.0,0.0,0.0
52.0,0.0,0.0
43.0,0.0,0.0
26.0,0.0,0.0
18.0,0.0,0.0
9.0,0.0,0.0
0.0,200.0,0.0
0.0,200.0,0.0
0.0,250.0,0.0
0.0,350.0,0.0
0.0,350.0,0.0
0.0,350.0,0.0
0.0,150.0,0.0
0.0,150.0,0.0
0.0,150.0,0.0
0.0,250.0,0.0
0.0,250.0,0.0
0.0,300.0,0.0
0.0,300.0,0.0
0.0,350.0,0.0
17.5,1200.0,0.0
85.5,1400.0,0.0
179.0,1500.0,0.0
293.8,1800.0,0.0
408.6,1800.0,0.0
507.0,1800.0,0.0
